date,trade_code,treatment,searches,price,bookings,revenue
2025-01-01T00:00:00Z,R9,treatment,8327,1583.13,412,652251.18
2025-01-01T00:00:00Z,S3,treatment,6184,1828.19,265,484469.34
2025-01-01T00:00:00Z,S8,treatment,5790,3918.98,170,666226.61
2025-01-01T00:00:00Z,S9,treatment,7542,3013.57,269,810649.22
2025-01-01T00:00:00Z,T4,control,5402,1595.88,214,341517.52
2025-01-01T00:00:00Z,T5,control,5797,1567.45,217,340136.84
2025-01-01T00:00:00Z,U6,control,4371,2553.15,335,855306.34
2025-01-01T00:00:00Z,U7,treatment,6791,1735.32,465,806924.65
2025-01-01T00:00:00Z,W2,treatment,5675,1874.71,324,607405.39
2025-01-01T00:00:00Z,W6,control,6703,2015.68,288,580516.94
2025-01-01T00:00:00Z,W8,control,9699,2981.72,325,969060.35
2025-01-01T00:00:00Z,Y1,treatment,3628,2230.83,177,394857.29
2025-01-01T00:00:00Z,Y2,control,8227,1891.72,411,777498.92
2025-01-01T00:00:00Z,Y5,treatment,7164,2042.62,296,604615.86
2025-01-01T00:00:00Z,Y8,treatment,8518,1590.3,421,669515.51
2025-01-01T00:00:00Z,Z2,treatment,7016,2110.69,339,715524.16
2025-01-01T00:00:00Z,Z5,control,6319,2259.46,325,734326.1
2025-01-02T00:00:00Z,A1,control,5065,2408.97,279,672103.46
2025-01-02T00:00:00Z,A6,control,6995,1832.2,230,421404.89
2025-01-02T00:00:00Z,A7,treatment,13817,2671.97,450,1202384.42
2025-01-02T00:00:00Z,A8,control,9089,3389.71,369,1250802.8
2025-01-02T00:00:00Z,B2,treatment,22007,5432.96,589,3200011.86
2025-01-02T00:00:00Z,C2,control,9089,2569.31,321,824749.64
2025-01-02T00:00:00Z,C3,treatment,9399,3207.01,283,907583.89
2025-01-02T00:00:00Z,C4,control,7313,2169.9,406,880977.89
2025-01-02T00:00:00Z,C6,treatment,9268,3496.45,341,1192288.74
2025-01-02T00:00:00Z,D5,treatment,30520,4293.34,871,3739497.44
2025-01-02T00:00:00Z,D9,treatment,4953,2404.26,221,531341.05
2025-01-02T00:00:00Z,E0,treatment,6718,1876.81,303,568672.59
2025-01-02T00:00:00Z,F0,control,6270,2239.68,302,676384
2025-01-02T00:00:00Z,F5,control,11685,2023.4,283,572622.61
2025-01-02T00:00:00Z,F6,treatment,5604,1842.37,358,659569.46
2025-01-02T00:00:00Z,F7,treatment,19334,4345.12,549,2385471.4
2025-01-02T00:00:00Z,F9,control,10422,2175.93,252,548335.27
2025-01-02T00:00:00Z,H1,control,8553,2386.8,614,1465497.12
2025-01-02T00:00:00Z,I6,control,5099,1556.33,394,613194.13
2025-01-02T00:00:00Z,I7,control,8871,2262.68,320,724057.43
2025-01-02T00:00:00Z,I8,treatment,6352,2198.27,221,485816.66
2025-01-02T00:00:00Z,J1,control,6761,2091.43,216,451749.86
2025-01-02T00:00:00Z,J7,treatment,6328,1784.07,393,701138.58
2025-01-02T00:00:00Z,K7,treatment,8285,2597.44,370,961053.05
2025-01-02T00:00:00Z,K8,treatment,13195,3743.71,351,1314041.67
2025-01-02T00:00:00Z,L4,control,17258,3253.92,490,1594419.54
2025-01-02T00:00:00Z,M5,control,22582,4525.81,424,1918943.71
2025-01-02T00:00:00Z,M9,control,11540,2898.31,410,1188305.33
2025-01-02T00:00:00Z,N9,treatment,10538,3642.14,274,997945.08
2025-01-02T00:00:00Z,O0,control,24320,4747.92,825,3917033.12
2025-01-02T00:00:00Z,O3,control,5443,1777.93,243,432036.79
2025-01-02T00:00:00Z,P0,treatment,6719,1804.21,373,672971.4
2025-01-02T00:00:00Z,P1,control,10134,4133.42,402,1661635.38
2025-01-02T00:00:00Z,P4,treatment,5987,2451.55,156,382441.91
2025-01-02T00:00:00Z,Q6,treatment,7312,1566.38,378,592090.02
2025-01-02T00:00:00Z,R3,control,10869,2822.98,251,708567.47
2025-01-02T00:00:00Z,R8,control,6699,1631.46,354,577536.35
2025-01-02T00:00:00Z,R9,treatment,5232,2441.25,379,925232.56
2025-01-02T00:00:00Z,S3,treatment,7321,1881.77,348,654854.67
2025-01-02T00:00:00Z,S8,treatment,10785,2916.33,224,653258.81
2025-01-02T00:00:00Z,S9,treatment,11553,3071.63,294,903059.13
2025-01-02T00:00:00Z,T4,control,5266,1969.05,250,492262.12
2025-01-02T00:00:00Z,T5,control,4666,1385.34,203,281223.98
2025-01-02T00:00:00Z,U6,control,6246,2180.31,253,551617.77
2025-01-02T00:00:00Z,U7,treatment,5388,2132.03,248,528743.96
2025-01-02T00:00:00Z,W2,treatment,6366,1861.85,223,415192.17
2025-01-02T00:00:00Z,W6,control,6467,2003.78,415,831567.41
2025-01-02T00:00:00Z,W8,control,16779,2506.71,304,762039.91
2025-01-02T00:00:00Z,Y1,treatment,5284,2183.39,196,427944.35
2025-01-02T00:00:00Z,Y2,control,4404,1948.28,81,157810.51
2025-01-02T00:00:00Z,Y5,treatment,6349,1515.74,290,439565.27
2025-01-02T00:00:00Z,Y8,treatment,6650,1854.9,166,307913.1
2025-01-02T00:00:00Z,Z2,treatment,5881,2569.94,242,621926.53
2025-01-02T00:00:00Z,Z5,control,6031,1708.37,261,445884.12
2025-01-03T00:00:00Z,A1,control,6699,2476.52,392,970797.58
2025-01-03T00:00:00Z,A6,control,5524,1849.8,253,467998.28
2025-01-03T00:00:00Z,A7,treatment,12776,3058.85,378,1156244.4
2025-01-03T00:00:00Z,A8,control,9521,2566.95,163,418413.04
2025-01-03T00:00:00Z,B2,treatment,19293,4599.03,569,2616849.06
2025-01-03T00:00:00Z,C2,control,11232,2953.24,274,809186.72
2025-01-03T00:00:00Z,C3,treatment,6829,3433.74,139,477290.1
2025-01-03T00:00:00Z,C4,control,8850,2254.25,429,967073.36
2025-01-03T00:00:00Z,C6,treatment,5119,3307.87,140,463102.28
2025-01-03T00:00:00Z,D5,treatment,20004,4878.72,345,1683158.5
2025-01-03T00:00:00Z,D9,treatment,4924,1798.97,227,408366.35
2025-01-03T00:00:00Z,E0,treatment,5719,2211.36,206,455540.96
2025-01-03T00:00:00Z,F0,control,3430,1894.91,153,289921.85
2025-01-03T00:00:00Z,F5,control,6683,2765.47,162,448006.9
2025-01-03T00:00:00Z,F6,treatment,8441,1657.22,557,923069.4
2025-01-03T00:00:00Z,F7,treatment,31052,5305.71,856,4541685.03
2025-01-03T00:00:00Z,F9,control,8583,2895.73,219,634164.49
2025-01-03T00:00:00Z,H1,control,4737,1920.62,266,510885.21
2025-01-03T00:00:00Z,I6,control,5588,1990.59,302,601158.93
2025-01-03T00:00:00Z,I7,control,5300,2306.06,242,558067.46
2025-01-03T00:00:00Z,I8,treatment,5191,1879.47,262,492420.4
2025-01-03T00:00:00Z,J1,control,6113,2252.55,403,907778.74
2025-01-03T00:00:00Z,J7,treatment,6883,2313.52,297,687116.28
2025-01-03T00:00:00Z,K7,treatment,4829,1768.24,299,528705.2
2025-01-03T00:00:00Z,K8,treatment,11482,3352.47,416,1394628.18
2025-01-03T00:00:00Z,L4,control,19145,5042.65,396,1996887.64
2025-01-03T00:00:00Z,M5,control,30423,3749.42,1005,3768169.37
2025-01-03T00:00:00Z,M9,control,11676,2359.98,443,1045472.43
2025-01-03T00:00:00Z,N9,treatment,8623,2251.11,295,664076.22
2025-01-03T00:00:00Z,O0,control,19883,4295.35,582,2499895.82
2025-01-03T00:00:00Z,O3,control,6062,2194.47,291,638591.92
2025-01-03T00:00:00Z,P0,treatment,5577,2295.46,402,922774.07
2025-01-03T00:00:00Z,P1,control,10989,2991.22,269,804637.73
2025-01-03T00:00:00Z,P4,treatment,11640,3324.8,422,1403063.6
2025-01-03T00:00:00Z,Q6,treatment,5207,2034.76,140,284866.82
2025-01-03T00:00:00Z,R3,control,8462,2822.87,249,702895.82
2025-01-03T00:00:00Z,R8,control,5383,2207.68,175,386344.28
2025-01-03T00:00:00Z,R9,treatment,4887,1796.5,139,249713.9
2025-01-03T00:00:00Z,S3,treatment,7869,2219.61,370,821253.92
2025-01-03T00:00:00Z,S8,treatment,7920,2801.88,266,745300.97
2025-01-03T00:00:00Z,S9,treatment,11591,3014.95,485,1462249.51
2025-01-03T00:00:00Z,T4,control,7357,2251.86,348,783647.78
2025-01-03T00:00:00Z,T5,control,4910,2301.19,359,826128.11
2025-01-03T00:00:00Z,U6,control,6447,2336.7,370,864577.98
2025-01-03T00:00:00Z,U7,treatment,6234,2168.1,337,730648.94
2025-01-03T00:00:00Z,W2,treatment,6383,1607.93,260,418062.65
2025-01-03T00:00:00Z,W6,control,6855,1734.75,331,574203.33
2025-01-03T00:00:00Z,W8,control,15178,3390.7,463,1569891.89
2025-01-03T00:00:00Z,Y1,treatment,6492,2193.52,263,576896.48
2025-01-03T00:00:00Z,Y2,control,5489,1478.4,318,470131.51
2025-01-03T00:00:00Z,Y5,treatment,6219,1819.39,244,443931.91
2025-01-03T00:00:00Z,Y8,treatment,6533,1803.97,291,524956.23
2025-01-03T00:00:00Z,Z2,treatment,5942,2471.73,189,467156.11
2025-01-03T00:00:00Z,Z5,control,6869,1697.48,461,782536.36
2025-01-04T00:00:00Z,A1,control,360,1503.4,10,15034.03
2025-01-04T00:00:00Z,A6,control,272,2235.92,16,35774.7
2025-01-04T00:00:00Z,A7,treatment,350,3503.87,15,52557.98
2025-01-04T00:00:00Z,A8,control,339,2639.17,16,42226.8
2025-01-04T00:00:00Z,B2,treatment,834,4519.4,15,67791.04
2025-01-04T00:00:00Z,C2,control,416,3493.75,20,69874.99
2025-01-04T00:00:00Z,C3,treatment,478,3261.91,10,32619.12
2025-01-04T00:00:00Z,C4,control,242,1912.5,14,26775.01
2025-01-04T00:00:00Z,C6,treatment,516,3015.17,18,54273.12
2025-01-04T00:00:00Z,D5,treatment,923,4043.83,29,117270.94
2025-01-04T00:00:00Z,D9,treatment,288,1670,20,33399.92
2025-01-04T00:00:00Z,E0,treatment,304,2190.55,20,43811.07
2025-01-04T00:00:00Z,F0,control,307,2012,8,16095.98
2025-01-04T00:00:00Z,F5,control,510,2741.73,16,43867.67
2025-01-04T00:00:00Z,F6,treatment,297,2238.55,21,47009.54
2025-01-04T00:00:00Z,F7,treatment,1172,3818.87,17,64920.75
2025-01-04T00:00:00Z,F9,control,593,2873.28,19,54592.29
2025-01-04T00:00:00Z,H1,control,318,2349.64,21,49342.47
2025-01-04T00:00:00Z,I6,control,282,2106.49,13,27384.33
2025-01-04T00:00:00Z,I7,control,403,2034.79,21,42730.59
2025-01-04T00:00:00Z,I8,treatment,240,1903.57,14,26650.02
2025-01-04T00:00:00Z,J1,control,260,1932.76,9,17394.85
2025-01-04T00:00:00Z,J7,treatment,273,1894.51,15,28417.62
2025-01-04T00:00:00Z,K7,treatment,277,1744.65,18,31403.78
2025-01-04T00:00:00Z,K8,treatment,550,3521.98,18,63395.7
2025-01-04T00:00:00Z,L4,control,909,3989.48,31,123673.93
2025-01-04T00:00:00Z,M5,control,1195,4689.43,30,140682.89
2025-01-04T00:00:00Z,M9,control,612,2873.31,12,34479.69
2025-01-04T00:00:00Z,N9,treatment,643,2316.1,31,71798.95
2025-01-04T00:00:00Z,O0,control,674,5141.46,28,143960.81
2025-01-04T00:00:00Z,O3,control,275,2227.56,20,44551.21
2025-01-04T00:00:00Z,P0,treatment,253,2090.34,19,39716.55
2025-01-04T00:00:00Z,P1,control,543,2654.82,11,29203
2025-01-04T00:00:00Z,P4,treatment,436,3242.1,16,51873.57
2025-01-04T00:00:00Z,Q6,treatment,317,1908.9,16,30542.41
2025-01-04T00:00:00Z,R3,control,367,2821.3,12,33855.58
2025-01-04T00:00:00Z,R8,control,204,1355.87,11,14914.52
2025-01-04T00:00:00Z,R9,treatment,426,2085.45,18,37538.13
2025-01-04T00:00:00Z,S3,treatment,260,1884.05,10,18840.46
2025-01-04T00:00:00Z,S8,treatment,499,3328.95,24,79894.81
2025-01-04T00:00:00Z,S9,treatment,628,2671.68,27,72135.31
2025-01-04T00:00:00Z,T4,control,274,2331.69,14,32643.72
2025-01-04T00:00:00Z,T5,control,368,1710.64,16,27370.21
2025-01-04T00:00:00Z,U6,control,226,2065.11,9,18585.95
2025-01-04T00:00:00Z,U7,treatment,206,1872.74,10,18727.36
2025-01-04T00:00:00Z,W2,treatment,239,1572.36,7,11006.54
2025-01-04T00:00:00Z,W6,control,337,2109.18,17,35856.05
2025-01-04T00:00:00Z,W8,control,537,2211.82,8,17694.59
2025-01-04T00:00:00Z,Y1,treatment,233,2192.99,15,32894.87
2025-01-04T00:00:00Z,Y2,control,185,2363.47,6,14180.81
2025-01-04T00:00:00Z,Y5,treatment,328,2026.5,22,44582.91
2025-01-04T00:00:00Z,Y8,treatment,309,1584.1,26,41186.67
2025-01-04T00:00:00Z,Z2,treatment,329,1837.4,23,42260.28
2025-01-04T00:00:00Z,Z5,control,273,2055.79,12,24669.53
2025-01-05T00:00:00Z,A1,control,404,1599.09,19,30382.77
2025-01-05T00:00:00Z,A6,control,347,2146.77,10,21467.72
2025-01-05T00:00:00Z,A7,treatment,628,3389.06,12,40668.76
2025-01-05T00:00:00Z,A8,control,631,2651.08,19,50370.51
2025-01-05T00:00:00Z,B2,treatment,1158,3494.66,26,90861.15
2025-01-05T00:00:00Z,C2,control,386,2981.33,15,44719.94
2025-01-05T00:00:00Z,C3,treatment,486,2905.43,11,31959.73
2025-01-05T00:00:00Z,C4,control,374,2128.35,16,34053.59
2025-01-05T00:00:00Z,C6,treatment,433,2874.13,10,28741.28
2025-01-05T00:00:00Z,D5,treatment,1018,4077.24,25,101930.93
2025-01-05T00:00:00Z,D9,treatment,323,2131.78,15,31976.67
2025-01-05T00:00:00Z,E0,treatment,334,2068.18,20,41363.66
2025-01-05T00:00:00Z,F0,control,352,1844.02,28,51632.49
2025-01-05T00:00:00Z,F5,control,484,2607.33,17,44324.65
2025-01-05T00:00:00Z,F6,treatment,289,1956.1,15,29341.43
2025-01-05T00:00:00Z,F7,treatment,904,5213.56,19,99057.59
2025-01-05T00:00:00Z,F9,control,656,3244.25,28,90838.96
2025-01-05T00:00:00Z,H1,control,192,2007.7,12,24092.38
2025-01-05T00:00:00Z,I6,control,462,2330.13,22,51262.94
2025-01-05T00:00:00Z,I7,control,189,1710.04,7,11970.31
2025-01-05T00:00:00Z,I8,treatment,302,1615.07,13,20995.89
2025-01-05T00:00:00Z,J1,control,339,2181.06,19,41440.23
2025-01-05T00:00:00Z,J7,treatment,268,1693.51,13,22015.69
2025-01-05T00:00:00Z,K7,treatment,316,1983.27,16,31732.28
2025-01-05T00:00:00Z,K8,treatment,520,2332.21,20,46644.19
2025-01-05T00:00:00Z,L4,control,1096,5505.15,29,159649.39
2025-01-05T00:00:00Z,M5,control,985,5325.91,26,138473.63
2025-01-05T00:00:00Z,M9,control,518,2715.4,21,57023.45
2025-01-05T00:00:00Z,N9,treatment,567,2843.61,13,36966.98
2025-01-05T00:00:00Z,O0,control,1142,4061.7,44,178714.86
2025-01-05T00:00:00Z,O3,control,313,1869.97,20,37399.41
2025-01-05T00:00:00Z,P0,treatment,306,1639.89,13,21318.58
2025-01-05T00:00:00Z,P1,control,454,2334.9,8,18679.19
2025-01-05T00:00:00Z,P4,treatment,569,3115.35,32,99691.08
2025-01-05T00:00:00Z,Q6,treatment,187,2393.75,8,19150.02
2025-01-05T00:00:00Z,R3,control,340,2733.91,11,30073.06
2025-01-05T00:00:00Z,R8,control,276,2087.83,13,27141.76
2025-01-05T00:00:00Z,R9,treatment,209,1658.52,12,19902.26
2025-01-05T00:00:00Z,S3,treatment,272,1916.46,22,42162.13
2025-01-05T00:00:00Z,S8,treatment,521,3405.67,12,40868.08
2025-01-05T00:00:00Z,S9,treatment,621,2885.49,19,54824.23
2025-01-05T00:00:00Z,T4,control,243,1982.75,23,45603.35
2025-01-05T00:00:00Z,T5,control,300,1757.72,16,28123.58
2025-01-05T00:00:00Z,U6,control,262,1585.5,12,19025.95
2025-01-05T00:00:00Z,U7,treatment,344,2010.02,8,16080.17
2025-01-05T00:00:00Z,W2,treatment,289,2181.05,17,37077.9
2025-01-05T00:00:00Z,W6,control,327,1645.49,18,29618.82
2025-01-05T00:00:00Z,W8,control,277,2912.05,12,34944.65
2025-01-05T00:00:00Z,Y1,treatment,337,1805.9,10,18059.01
2025-01-05T00:00:00Z,Y2,control,361,2192.06,23,50417.34
2025-01-05T00:00:00Z,Y5,treatment,232,1917.31,10,19173.11
2025-01-05T00:00:00Z,Y8,treatment,341,1702.32,15,25534.79
2025-01-05T00:00:00Z,Z2,treatment,341,1843.39,21,38711.14
2025-01-05T00:00:00Z,Z5,control,329,2168.99,8,17351.9
2025-01-06T00:00:00Z,A1,control,4880,2311.38,260,600957.59
2025-01-06T00:00:00Z,A6,control,6500,1244.83,337,419508.01
2025-01-06T00:00:00Z,A7,treatment,11784,2923.18,415,1213119.53
2025-01-06T00:00:00Z,A8,control,9633,2986.49,237,707798.82
2025-01-06T00:00:00Z,B2,treatment,20260,4935.7,703,3469798.38
2025-01-06T00:00:00Z,C2,control,7446,3883.42,241,935904.48
2025-01-06T00:00:00Z,C3,treatment,10487,3461.28,321,1111070.39
2025-01-06T00:00:00Z,C4,control,5563,1765.19,315,556035.61
2025-01-06T00:00:00Z,C6,treatment,8067,3072.27,319,980052.61
2025-01-06T00:00:00Z,D5,treatment,8539,4107.98,189,776408.51
2025-01-06T00:00:00Z,D9,treatment,4981,2002.71,325,650881.25
2025-01-06T00:00:00Z,E0,treatment,6266,1847.11,267,493178.42
2025-01-06T00:00:00Z,F0,control,6041,1518.91,251,381245.63
2025-01-06T00:00:00Z,F5,control,10480,3787.88,227,859848.42
2025-01-06T00:00:00Z,F6,treatment,5650,1438.58,328,471855.75
2025-01-06T00:00:00Z,F7,treatment,12884,4892.93,370,1810385.17
2025-01-06T00:00:00Z,F9,control,8644,3183.24,240,763977.59
2025-01-06T00:00:00Z,H1,control,6323,1798.07,357,641910.65
2025-01-06T00:00:00Z,I6,control,5023,2514.75,217,545701.37
2025-01-06T00:00:00Z,I7,control,3637,2011.87,174,350064.7
2025-01-06T00:00:00Z,I8,treatment,6861,1606.14,367,589454.27
2025-01-06T00:00:00Z,J1,control,7267,1704.72,308,525053.06
2025-01-06T00:00:00Z,J7,treatment,4357,2434.25,171,416256.45
2025-01-06T00:00:00Z,K7,treatment,5427,1521.47,315,479261.56
2025-01-06T00:00:00Z,K8,treatment,8065,3220.33,259,834066.52
2025-01-06T00:00:00Z,L4,control,18292,4631.95,419,1940787.12
2025-01-06T00:00:00Z,M5,control,17411,3959.97,419,1659229.09
2025-01-06T00:00:00Z,M9,control,11384,3546.55,377,1337047.97
2025-01-06T00:00:00Z,N9,treatment,12500,2794.38,317,885818.25
2025-01-06T00:00:00Z,O0,control,18042,4547.29,521,2369135.59
2025-01-06T00:00:00Z,O3,control,4922,2155.71,236,508746.4
2025-01-06T00:00:00Z,P0,treatment,5381,1944.08,276,536565.39
2025-01-06T00:00:00Z,P1,control,7744,2942.05,185,544279.54
2025-01-06T00:00:00Z,P4,treatment,10551,3275.3,412,1349421.88
2025-01-06T00:00:00Z,Q6,treatment,6374,1769.54,399,706045.06
2025-01-06T00:00:00Z,R3,control,7689,3248.81,188,610775.78
2025-01-06T00:00:00Z,R8,control,5112,2211.26,226,499745.76
2025-01-06T00:00:00Z,R9,treatment,4583,1914.72,215,411665.29
2025-01-06T00:00:00Z,S3,treatment,3621,1593.15,165,262869.48
2025-01-06T00:00:00Z,S8,treatment,10010,3983.29,262,1043622.69
2025-01-06T00:00:00Z,S9,treatment,10896,2540.04,249,632469.63
2025-01-06T00:00:00Z,T4,control,7140,1498.18,348,521366.85
2025-01-06T00:00:00Z,T5,control,5201,1517.55,232,352071.53
2025-01-06T00:00:00Z,U6,control,6048,1729.13,332,574070.46
2025-01-06T00:00:00Z,U7,treatment,3420,1639.93,168,275507.43
2025-01-06T00:00:00Z,W2,treatment,5691,1545.91,280,432854.9
2025-01-06T00:00:00Z,W6,control,5718,1894.08,226,428062.29
2025-01-06T00:00:00Z,W8,control,7826,3077.13,269,827749.16
2025-01-06T00:00:00Z,Y1,treatment,6020,1995.15,321,640441.77
2025-01-06T00:00:00Z,Y2,control,4516,2184.97,251,548427
2025-01-06T00:00:00Z,Y5,treatment,6073,2248.93,372,836601.34
2025-01-06T00:00:00Z,Y8,treatment,7097,1992.17,485,966202.59
2025-01-06T00:00:00Z,Z2,treatment,6610,1884.51,240,452283.12
2025-01-06T00:00:00Z,Z5,control,6659,1966.87,224,440579.14
2025-01-07T00:00:00Z,A1,control,6119,2041.32,290,591982.61
2025-01-07T00:00:00Z,A6,control,5002,2126.92,306,650837.22
2025-01-07T00:00:00Z,A7,treatment,8429,2948.18,45,132667.9
2025-01-07T00:00:00Z,A8,control,11324,2658.26,357,948999.47
2025-01-07T00:00:00Z,B2,treatment,20874,5564.78,510,2838038.29
2025-01-07T00:00:00Z,C2,control,12731,3194.98,473,1511224.53
2025-01-07T00:00:00Z,C3,treatment,11422,2497.36,257,641821.23
2025-01-07T00:00:00Z,C4,control,5062,2194.09,250,548521.42
2025-01-07T00:00:00Z,C6,treatment,7747,3369.25,255,859158.51
2025-01-07T00:00:00Z,D5,treatment,19247,4790.29,525,2514904.53
2025-01-07T00:00:00Z,D9,treatment,3960,1945.28,217,422124.87
2025-01-07T00:00:00Z,E0,treatment,6864,1528.25,293,447778.07
2025-01-07T00:00:00Z,F0,control,6068,2192.08,250,548020.62
2025-01-07T00:00:00Z,F5,control,8129,3592.6,242,869408.21
2025-01-07T00:00:00Z,F6,treatment,6361,1842.77,311,573100.53
2025-01-07T00:00:00Z,F7,treatment,13885,5242.26,325,1703735.06
2025-01-07T00:00:00Z,F9,control,11563,3293.33,410,1350263.32
2025-01-07T00:00:00Z,H1,control,4346,2175.87,291,633178.83
2025-01-07T00:00:00Z,I6,control,7233,2047.62,523,1070903.73
2025-01-07T00:00:00Z,I7,control,6032,1685.84,302,509122.54
2025-01-07T00:00:00Z,I8,treatment,7997,2198.6,520,1143270.44
2025-01-07T00:00:00Z,J1,control,4108,1518.34,234,355292.13
2025-01-07T00:00:00Z,J7,treatment,8046,1825.77,531,969482.51
2025-01-07T00:00:00Z,K7,treatment,4988,1676.72,257,430916.97
2025-01-07T00:00:00Z,K8,treatment,8667,3490.73,220,767961.25
2025-01-07T00:00:00Z,L4,control,21615,2790.73,637,1777697.49
2025-01-07T00:00:00Z,M5,control,19712,4539.17,616,2796125.85
2025-01-07T00:00:00Z,M9,control,8879,2733.39,321,877419.32
2025-01-07T00:00:00Z,N9,treatment,12061,3132.86,486,1522568.34
2025-01-07T00:00:00Z,O0,control,16194,4660.9,505,2353754.03
2025-01-07T00:00:00Z,O3,control,6169,1826.63,340,621052.62
2025-01-07T00:00:00Z,P0,treatment,5484,1827.89,331,605030.93
2025-01-07T00:00:00Z,P1,control,9235,2538.63,220,558497.73
2025-01-07T00:00:00Z,P4,treatment,12677,3136.37,407,1276503.69
2025-01-07T00:00:00Z,Q6,treatment,5604,2000.59,306,612181.66
2025-01-07T00:00:00Z,R3,control,10452,2844.99,245,697021.39
2025-01-07T00:00:00Z,R8,control,7406,2140.2,326,697704.95
2025-01-07T00:00:00Z,R9,treatment,6063,1474.68,268,395214.09
2025-01-07T00:00:00Z,S3,treatment,6679,1789.34,506,905407.03
2025-01-07T00:00:00Z,S8,treatment,10933,2238.48,330,738697.78
2025-01-07T00:00:00Z,S9,treatment,8308,3241.88,239,774809.97
2025-01-07T00:00:00Z,T4,control,8010,1954.16,416,812931.64
2025-01-07T00:00:00Z,T5,control,4945,1686.36,253,426649.97
2025-01-07T00:00:00Z,U6,control,6715,1755.05,266,466843.63
2025-01-07T00:00:00Z,U7,treatment,5164,1870.79,304,568720.11
2025-01-07T00:00:00Z,W2,treatment,6731,1203.83,332,399671.18
2025-01-07T00:00:00Z,W6,control,7686,1688.2,334,563857.79
2025-01-07T00:00:00Z,W8,control,10559,2547.97,343,873954.06
2025-01-07T00:00:00Z,Y1,treatment,6041,1458.44,342,498787.58
2025-01-07T00:00:00Z,Y2,control,5113,2021.46,307,620588.75
2025-01-07T00:00:00Z,Y5,treatment,6165,1795.29,195,350081.23
2025-01-07T00:00:00Z,Y8,treatment,4742,2055.71,218,448143.95
2025-01-07T00:00:00Z,Z2,treatment,6771,1774.68,373,661954.07
2025-01-07T00:00:00Z,Z5,control,6331,1755.49,332,582822.89
2025-01-08T00:00:00Z,A1,control,8126,2170.78,440,955144.83
2025-01-08T00:00:00Z,A6,control,5652,2015.34,236,475620.3
2025-01-08T00:00:00Z,A7,treatment,7718,3419.17,217,741958.91
2025-01-08T00:00:00Z,A8,control,5246,2651.33,202,535569.11
2025-01-08T00:00:00Z,B2,treatment,20971,4198.66,531,2229487.03
2025-01-08T00:00:00Z,C2,control,7676,3325.79,256,851401.66
2025-01-08T00:00:00Z,C3,treatment,9583,2786.94,199,554601.99
2025-01-08T00:00:00Z,C4,control,5017,2219.37,366,812291.01
2025-01-08T00:00:00Z,C6,treatment,9097,2447.54,230,562935.12
